IP,OPEN_PORTS
192.168.0.1,"80, 443"
192.168.0.25,"22, 80"
192.168.0.26,80
192.168.0.27,"22, 80"
192.168.0.28,"22, 80"
192.168.0.32,22
192.168.0.42,"445, 3389"
192.168.0.43,22
192.168.0.46,22
192.168.0.51,"445, 3389"
192.168.0.91,22
192.168.0.107,22
192.168.0.113,"80, 443"
192.168.0.121,22
192.168.0.124,22
192.168.0.131,22
192.168.0.146,22
192.168.0.156,22
192.168.0.164,22
192.168.0.173,22
192.168.0.183,22
192.168.0.209,22
192.168.0.211,22
